node1,node2,score
RPS27A,RPS18,1
RPL7A,RPLP2,1
RPLP0,RPS15,1
RPS19,ANXA1,0.0714447
UBA52,RPS26,1
RPS27A,RPS4X,1
RPL38,EIF3CL,0.0443016
RPL7A,RPS27,1
STIP1,RPL3,0.0487875
RPS27,RPS19,1
RPS27A,SERBP1,0.0461561
RPL7A,RPL27,1
EIF3B,RPS8,1
STIP1,RPS25,0.051783
RPL13,SYNCRIP,0.0582333
RPL18A,EIF5B,1
ACTB,RPL12,0.0405485
RPL6,RPS4Y1,1
RPL22,RPL12,1
EIF3G,RPS19,1
RPL23,RPS27,1
G3BP2,RPL3,0.0435399
RPS4Y1,EIF4H,1
RPS7,DDX1,0.194397
RPS6,RPS8,1
RPL26,RPS18,1
ACTR2,RPS16,0.0459334
RPS3,RPL13,1
RPL22,EEF2,0.0427231
HNRNPA0,EIF4B,0.0453219
RPS27A,RPL15,1
PABPC1,RPS26,1
CFL1,RPL7,0.148951
RPS10,EIF3H,1
SNORA67,HDLBP,0.0442983
DDX1,RPS17,0.0424196
RPL18A,RPS17,1
RPS27A,RPL26,1
RPL10,RPL8,1
ACTR2,RPL30,0.0443617
PFN1,YWHAZ,1
RPL5,RPL21,1
RPS17,PGK1,0.0422101
RPL31,RPS3,1
RPL23,EEF2,0.34399
YWHAZ,PPP1CC,1
RPS20,EIF3E,1
RPL38,ETF1,1
RPS17,EEF1A1,1
RPL22,RPL35A,1
RPS4X,RPS12,1
EIF3CL,EIF3I,0.604765
RPL28,RPS27,1
MOV10,RPL21,0.0965947
RPS7,EEF2,0.247409
RPS17,YWHAZ,0.040408
EIF4B,EEF2,0.0425097
RPL10A,EIF3G,0.0440271
RPLP0,RPL28,1
RPL7A,RPL26,1
RPL18,PPP1CB,0.0432568
RPL23A,YBX1,0.16837
DDX1,IGF2BP1,0.178063
HNRNPA1,RPL3,0.1342
RPS2,RPS26,1
RPS12,RPS27,1
RPL23A,FAU,1
RPS17,RPL18,1
MOV10,SYNCRIP,0.19859
RPS5,RPL10A,1
RPL12,RPL7,1
RPS13,UPF1,0.0469902
RPL10A,RPL28,1
RPS2,RPL6,1
RPL22,RPL18,1
ACTR2,RPL18,0.0448852
RPL6,RPS16,1
EIF4G1,RPL11,0.132099
RPS10,EIF3B,1
RPS24,RPL18,1
RPS6,RPLP1,1
RPS2,RPS25,1
RPS10,EIF3G,1
EIF4G1,RPL35,0.0489504
RPL31,RPS4X,1
RPL7A,RPS15,1
ACTR2,CFL1,0.178733
PABPC1,EIF4H,1
RPL14,SYNCRIP,0.0618462
RPS28,RPS16,1
RPS13,RPL18,1
RPS10,RPS23,1
RPS21,RPS15A,1
RPL10A,RPS8,1
RPS15A,RPS4X,1
GPI,RPLP0,0.0446021
RPS15,RPS4X,1
RPL24,PABPC1,0.251314
HNRNPA1,RPL15,0.0430418
RPL30,EIF3I,0.0404175
RPS26,RPL18,1
RPS3A,RPL13A,1
GPI,RPLP2,0.0669662
RPL13,RPL18,1
RPL35,SNORA67,0.0404349
RPL37A,ETF1,1
ANXA1,RPL7,0.0727976
RPS7,RPL7A,1
EIF3CL,RPS28,0.0431373
RPS2,RPL14,1
YBX1,RPS18,0.289671
RPS10,RPLP2,1
RPL27A,RPL35A,1
RPS17,RPS18,1
RPS20,EIF3H,1
HNRNPL,RPS26,0.0548885
HNRNPA0,DDX1,0.239962
RPLP1,EEF2,0.424353
GPI,RPS24,0.0455168
SERBP1,YBX1,0.0515301
RPL11,YBX1,0.36911
STIP1,EIF5B,0.0482244
RPL22,RPS26,1
EIF3H,RPL13A,1
RPS5,RPS14,1
RPL10A,EIF5B,1
EGFR,HNRNPA1,0.0435555
HNRNPA2B1,RPL14,0.0431714
RPS2,RPL15,1
PCBP2,RPL21,0.0751438
RPL27,PPP1CC,0.326422
RPS5,PCBP2,0.0706464
SYNCRIP,RPL7,0.0614424
RPS2,RPL27A,1
RPLP1,RPS12,1
RPL23,RPL13A,1
HNRNPA2B1,RPS20,0.0432436
RPS9,CFL1,0.0432212
PCBP2,UPF1,0.0778717
RPS15,RPS19,1
RPS2,PABPC1,1
RPS14,RPS20,1
MOV10,RPL6,0.090646
RPL23A,RPS19,1
EIF3CL,RPS8,0.148385
RPS20,SERBP1,0.0907899
RPS4X,RPL18,1
RPS17,RPS2,1
RPL11,ANXA1,0.0676806
RPS19,RPL8,1
RPL7A,RPL9,1
GPI,RPL10A,0.0458264
RPS24,RPS20,1
IGF2BP1,IGF2BP2,0.0519083
DDX3X,PPIA,0.0424439
RPS4Y1,RPS8,1
EIF3E,SERBP1,0.0644033
RPS16,RPS27,1
STIP1,RPL23A,0.0502294
RPL28,RPL19,1
RPL26,UBA52,1
G3BP2,PABPC1,0.165252
RPL31,RPLP2,1
RPL6,PCBP2,0.0729756
EIF4G1,UPF1,0.130135
ETF1,RPL9P7,1
RPS14,RPLP0,1
ACTB,RPL36,0.0405386
RPS9,RPL18,1
RPL38,STIP1,0.0534151
EIF3CL,EIF5B,0.397719
SNORA67,RPL35A,0.0429755
RPL38,RPL28,1
RPL7A,YBX1,0.274011
RPL7A,RPS26,1
RPS16,RPS9,1
HNRNPA2B1,PCBP2,1
RPL37A,RPS28,1
RPS3A,RPL30,1
EGFR,RPL4,0.0412869
ACTB,EIF1AY,0.414474
RPL18A,MOV10,0.0866143
RPS23,YBX1,0.176731
RPL35A,RPS18,1
DDX3X,RPL19,0.0418527
EIF3CL,UBA52,0.0433572
RPL18A,HNRNPA2B1,0.0423247
RPS27,RPS29,1
RPL10A,RPL9P7,1
RPS24,RPS26,1
RPL31,RPL3,1
RPS17,RPL27A,1
RPS11,RPL3,1
RPS20,YBX1,0.163551
RPS23,SYNCRIP,0.0545618
RPS23,RPS25,1
RPS2,RPS15A,1
RPS4Y1,RPL7,1
YBX1,RPL12,0.142699
PPIA,EEF1A1,0.124993
HNRNPA1,UBA52,0.267631
RPS10,RPL7,1
EIF4G1,RPL27A,0.0411774
RPS28,ACTR2,0.0489317
RPS2,RPS24,1
ACTR2,RPS8,0.0440169
RPL36,CNBP,1
RPS25,RPS27,1
RPS27,RPL15,1
EIF5B,FAU,1
RPL13,RPS3A,1
RPL5,HDLBP,0.0417324
HNRNPA1,RPL27A,0.0440308
RPS14,HNRNPA1,0.19502
RPS4Y1,RPS27,1
RPLP1,RPL23,1
RPL10A,RPS26,1
RPS3,RPS17,1
RPL27,RPS4Y1,1
G3BP1,CFL1,0.0428861
RPS17,RPS16,1
RPS15,RPL18,1
ANXA1,UBA52,0.0659809
RPL18A,RPL4,1
RPS11,RPS18,1
HNRNPA2B1,RPS4X,0.147361
RPLP2,EEF2,0.395656
PATL1,RPS4X,0.0420176
RPL13,RPS7,1
RPLP0,YWHAZ,1
RPL5,RPL9P7,1
RPS11,RPS17,1
SYNCRIP,RPL8,0.0560482
RPS4Y1,RPS26,1
RPLP1,FAU,1
RPL37A,RPS7,1
RPSAP15,ANXA1,0.0692184
RPS9,RPS15A,1
HNRNPA1,RPL22,0.360232
RPL13,PCBP2,0.068642
RPS8,RPS19,1
RPL27,RPL13A,1
RPS5,RPS6,1
RPS18,RPL10,1
EIF3B,EIF5B,1
RPS27,EIF4H,1
RPS7,YWHAZ,1
RPL24,RPS26,1
PCBP2,RPL28,0.0866382
YWHAZ,RPL8,1
RPS5,RPLP1,1
RPS25,RPL13A,1
IGF2BP1,RPS17,0.0425433
RPL37A,RPL30,1
RPLP1,RPS27,1
RPS2,RPS27,1
RPS5,RPL11,1
IGF2BP1,HNRNPA1,0.189581
HNRNPL,YBX1,1
RPL35,RPL22,1
RPL13,RPL24,1
EIF4B,RPS19,1
RPS27,RPL35A,1
RPL36A,RPS19,1
UPF1,PABPC1,1
RPL13,RPL11,1
GPI,RPS19,0.0552948
RPS2,RPL13,1
RPS16,EEF1A1,1
PCBP2,RPL19,0.0744947
ACTB,RPL6,0.3854
PGK1,SNORA67,0.350255
RPS9,RPL15,1
RPL7A,RPS4Y1,1
RPL6,YBX1,0.140451
RPL18A,PPP1CC,0.324522
RPL7A,RPS26,1
RPL31,RPL24,1
SNORA67,FAU,1
GPI,PGK1,0.180255
CFL1,EEF2,0.129433
RPL36,EIF4B,0.0430748
ACTB,RPS15A,0.10667
RPL23A,RPL11,1
RPL13,RPL7A,1
EIF3B,RPS16,1
RPS27A,RPS17,1
RPS28,RPS15,1
EIF3H,RPS26,1
ACTR2,RPL27A,0.0459449
RPS13,RPL10,1
DDX1,SNORA67,0.0449193
RPS28,RPS27A,1
RPL26,RPS21,1
RPLP1,RPS9,1
RPL31,RPL27A,1
RPL4,RPL18,1
RPL38,RPL10,1
RPL18A,RPL13A,1
EIF4B,RPL23,0.0469658
RPS23,RPL4,1
RPL9P7,RPL3,1
RPL37A,RPL27,1
RPS17,RPL10,1
RPS28,RPL18,1
RPS18,RPS27,1
EIF3B,PABPC1,1
RPL3,RPL13A,1
RPS21,RPS19,1
RPL24,RPSAP15,1
HNRNPA1,CFL1,0.159138
ETF1,RPL9,1
RPL23A,CNBP,1
PPIA,RPL7,0.163404
RPS3,RPS4Y1,1
RPS27A,EIF3H,1
RPL31,HDLBP,0.0417453
RPS20,RPS27,1
RPL36,RPS4X,1
RPL31,UPF1,0.0410172
RPL28,RPS26,1
RPS3,RPL24,1
PPIA,RPL27,0.0438282
RPS3,EIF3I,1
RPL23,RPL35A,1
RPL13,RPS21,1
RPS8,PGK1,0.131094
CNBP,RPL35A,1
RPS20,SNORA67,1
RPL36A,RPS24,1
RPL36,RPL35A,1
RPS23,EIF4B,1
RPL36A,RPL15,1
RPL10A,RPS15A,1
RPL36A,RPS7,1
RPL7A,RPL14,1
RPS5,RPL35,1
RPL28,EEF2,0.0441789
UPF1,EEF2,0.0405092
RPL9,RPS21,1
RPS23,RPS27,1
RPS21,RPS27,1
RPL6,RAB7A,0.042861
RPS4X,ANXA1,0.0663825
RPL23A,RPL28,1
IGF2BP2,EIF3E,0.0539663
RPS17,DDX1,0.0424196
RPL36,RPS15,1
RPL6,PPIA,0.0427967
RPL35,YBX1,0.144491
EEF1A1,CCT3,0.0465313
RPS13,RPL14,1
RPS5,RPL27A,1
RPS15A,RPL10,1
RPLP1,RPL26,1
RPS25,RPL15,1
YWHAZ,RPL19,1
RPL4,RPS27,1
RPS27,PPP1CC,1
IGF2BP1,ACTA2,0.115548
RPS2,RPL35A,1
EIF3CL,RPL11,0.0428808
STIP1,RPS27A,0.317355
RPS10,RPL9P7,1
RPS9,RPS26,1
RPS11,RPS2,1
RPL24,RPL28,1
RPSAP15,RPL30,1
RPS27A,SNORA67,1
RPSAP15,FAU,1
ACTB,PGK1,0.171211
RPL27,RPS29,1
PCBP2,RPL7,0.0757773
EIF3G,RPS8,1
RPS8,RPL12,1
RPL37A,RPS12,1
FAU,RPL10,1
RPL27A,RPS26,1
EIF4B,RPL26,0.0431516
RPS28,EEF2,0.135625
EIF3H,RPS12,1
RPS27A,RPL24,1
RPL7A,RPS19,1
RPL21,RPL13A,1
EIF4B,RPL30,0.0426217
RPL30,RPS26,1
RPS27A,RPS25,1
RPS7,RPS27,1
RPL18A,RPS17,1
GPI,RPL9P7,0.0458051
EIF4B,EIF3E,1
RPL10A,RPL14,1
EGFR,RPS3A,0.0416056
RPS7,SYNCRIP,0.0582871
RPS6,RPL3,1
EIF3CL,EIF3G,0.605023
RPS5,RPS29,1
RPL11,RPL8,1
HNRNPL,PABPC1,0.19318
RPL6,RPL10A,1
RPL35,RPS8,1
PABPC1,RPS27,1
EIF3G,EIF3H,1
STIP1,EIF3G,0.0517384
RPS16,RPS19,1
HNRNPA0,RPS13,0.0425999
RPL31,RPS21,1
RPL31,RPL14,1
RPL6,RPL15,1
RPL3,HDLBP,0.122999
EIF3CL,RPL30,0.0427463
RPL26,RPL8,1
EIF3B,RPL22,0.0577278
G3BP2,HNRNPA0,0.0483953
SERBP1,RPL7,0.0513298
RPS3,RPS16,1
RPS28,RPL10A,1
RPS2,RPSAP15,1
RPL24,EEF2,0.263383
RPS3,RPS8,1
PPP1CB,RPS26,0.0460315
G3BP2,RPL15,0.0454204
G3BP1,DDX3X,0.0579771
RPL5,RPS26,1
RPL6,RPS15A,1
RPL38,EIF3I,0.0414016
RPS13,RPL21,1
RPL9,RPL28,1
RPS11,EGFR,0.0424018
RPS4X,RPL30,1
RPS24,RPL4,1
RPS19,SNORA67,1
RPS27A,RPL7A,1
HNRNPA2B1,RPLP2,0.301513
RPS24,EIF4B,1
EGFR,RPL10,0.0423328
RPL23A,RPSAP15,1
RPL21,SNORA67,0.0425682
STIP1,RPS8,0.0485097
PPIA,CFL1,0.388715
ACTB,RPL28,0.327583
RPL36,RPL27A,1
ETF1,RPL19,1
ACTB,PPIA,0.218988
RPS17,RPS29,1
EGFR,RPS18,0.0426275
RPL23,RPL4,1
RPL24,RPL21,1
FAU,EIF3I,1
RPL31,RPS27A,1
RPL27A,RPL13A,1
RPS6,RPLP0,1
IGF2BP1,EEF2,0.172645
RPL18A,RPSAP15,1
RPS20,RPS9,1
RPL13,UBA52,1
RPL9,RPL35A,1
RPS23,RPS5,1
RPL7A,SNORA67,0.0400331
RPS27A,RPL9P7,1
RPL36,HNRNPA2B1,0.132121
RPS13,RPL7,1
RPL9,RPS4Y1,1
EIF4G1,EIF4H,1
IGF2BP1,RPL28,0.180178
EEF1A1,RPL21,1
G3BP2,RPS3A,0.0430748
RPS4Y1,RPL35A,1
RPS2,RPLP1,1
RPL24,RPL23A,1
RPS20,RPL28,1
RPL7A,EEF1A1,1
PABPC4,EIF4B,0.054542
RPL38,RPL9,1
ACTB,DDX1,0.14592
RPL38,RPS15A,1
RPL22,RPL30,1
RPL4,UBA52,1
DDX1,EIF3E,0.0514146
RPS16,RPS20,1
STIP1,RPL14,0.0511694
RPS11,RPL24,1
RPL26,RPS15A,1
RPL31,RPL22,1
RPS8,RPL21,1
RPL18,RPL10,1
RPL11,RPL10,1
RPL31,RPSAP15,1
RPS17,RPS12,1
EIF3CL,RPS7,0.0426879
RPS3A,RAB1A,0.0435653
RPL31,RPLP1,1
EEF1A1,RAB7A,0.0411042
PABPC1,RPL28,0.355401
G3BP2,RPL7,0.0453229
RPL15,YBX1,0.142876
RPL5,RPLP2,1
RPL35,RPL30,1
RPS5,RPS15,1
RPL6,RPL22,1
EIF3B,RPS14,1
RPS10,RPL9,1
RPS15A,PPP1CB,0.0429941
RPS27A,YWHAZ,1
IGF2BP1,RPS9,0.0465801
UPF1,GSPT1,1
RPL31,RPL5,1
RPL18,RPL12,1
RPL31,YBX1,0.286105
GPI,RPL10,0.0442571
RPL9P7,RPS9,1
RAB1A,RAB6C,0.544032
RPS23,RPL10,1
RPS13,RPL27,1
RPL10A,EIF3I,0.0409279
RPL6,RPS6,1
RPL38,RPS16,1
RPS15A,RPL7,1
RPS2,FAU,1
RPL23,PPP1CB,0.0443474
RPS23,PABPC1,1
GPI,UBA52,0.0644737
ACTR2,HNRNPA2B1,0.0457538
RPS3,PGK1,0.0485192
RPS29,UBA52,1
RPS23,RPL11,1
RPS16,RPL3,1
RPS4Y1,EIF5B,1
RPS28,RPS14,1
MOV10,HNRNPL,0.156639
EIF4G1,RPS4Y1,1
RPS24,RPLP0,1
RPL26,RPL35A,1
RPL18A,RPS3,1
GPI,RPS6,0.0441202
RPS7,RPL4,1
RPS13,IGF2BP1,0.134369
UPF1,RPL21,0.0477719
RPS8,PATL1,0.0416098
EIF3B,EIF3I,1
RPS14,RPS26,1
RPLP0,PPP1CC,0.322102
RPS2,EIF5B,1
RPL18A,IGF2BP1,0.0452502
RPL35,RPL10,1
RPS5,RPL8,1
RPL36,RPS13,1
RPS8,EEF2,0.393205
RPS17,RPLP1,1
RPL5,PATL1,0.0424183
RPLP0,EIF3I,0.138638
RPS13,RPL27A,1
RPS20,RPS18,1
RPS28,RPS6,1
RPS2,RPS21,1
RPL7A,HNRNPL,0.050436
RPL31,CNBP,1
RPS6,RPS29,1
EEF1A1,GSPT1,0.0422919
RPL27,RPS8,1
HNRNPA1,RPL28,0.0465079
RPS7,RPL10A,1
RPL23A,RPL8,1
RPL36,SNORA67,0.115063
RPS4Y1,RPS9,1
RPS16,RPS6,1
RPL11,RPL3,1
PPIA,EIF3I,0.0427338
RPL28,RPS15A,1
RPS7,RPS25,1
RPS15,RPL8,1
RPS13,RPS25,1
RPS16,RPS12,1
RPS10,RPS16,1
RPS16,RPL35,1
DDX1,PABPC1,0.0418511
RPSAP15,HDLBP,0.0418135
G3BP2,RPL14,0.0458031
RPL3,RPL18,1
RPS3A,RPLP2,1
RPL7A,RPLP1,1
RPL23,RPS8,1
RPL36A,RPL22,1
RPS24,RPL28,1
RPL38,RPL22,1
RPS9,RPLP2,1
RPL18A,RPS21,1
RPS16,RPS15,1
RPS27,RPL30,1
RPL37A,RPS4X,1
RPL23A,RPS8,1
RPL31,RPL6,1
RPS6,EEF2,0.412721
RPL7A,RPL12,1
STIP1,RPS14,0.0503503
RPS3,RPL3,1
RPL15,RPL8,1
RPL31,RPL23,1
EEF1A1,RPS27,1
RPS4X,GSPT1,0.043721
DDX3X,YBX1,0.293103
RPS5,RPL30,1
PABPC4,RPS8,0.0474074
EIF3E,RPS26,1
PCBP2,RPS8,0.0682657
RPS3,RPL10,1
ACTB,RPL23,0.0993957
RPS10,RPS3A,1
ACTR2,RPS15A,0.0446137
RPS14,RPL35A,1
ANXA1,RPS18,0.0693177
IGF2BP1,RPL23,0.0470959
EIF3B,RPL9,0.043943
RPS11,RPL28,1
RPS27,RPS4X,1
RPL23A,PPIA,0.0445332
RPS17,RPL4,1
RPS15A,RPS26,1
ACTB,RPS20,0.260539
RPLP2,RPL30,1
EIF3CL,RPS3,0.0420484
RPL18A,FAU,1
RPL36,RPS18,1
RPS23,EEF1A1,1
RPS14,HNRNPA2B1,0.0430568
RPL31,RPL28,1
RPL4,RPL7,1
RPS5,RPLP2,1
RPL4,RPS29,1
ACTB,RPL8,0.135328
RPL38,RPL18,1
RPS3,RPLP2,1
RPS28,RPS7,1
EIF4B,CFL1,0.0462593
DDX1,RPS6,0.0428431
RPS20,PABPC1,1
RPS24,RPL27A,1
RPS17,RPS8,1
STIP1,RPL13,0.0516039
DDX3X,ANXA1,0.0698036
DDX3X,HNRNPA1,0.31663
RPS14,UBA52,1
RPS15,RPS25,1
RPS28,RPL24,1
RPS3,RPL13A,1
RPL35A,RPL13A,1
HNRNPL,RPL8,0.0514648
RPS27,RPS26,1
RPSAP15,RPL19,1
RPL10A,RPS12,1
RPL10A,EEF1A1,1
EIF4B,RPS26,1
RPS2,RPS29,1
EIF4G1,RPL10,0.0413873
RPS3,EGFR,0.0414456
RPL36A,RPL24,1
RPS9,YBX1,0.166649
GPI,EIF4G1,0.0560447
RPL36,RPS17,1
ACTB,RPS17,0.217895
RPL5,RPS12,1
RPL7A,SYNCRIP,0.0535703
RPL36A,RPL10A,1
IGF2BP1,RPL22,0.0443694
EIF3CL,RPS3A,0.042195
PPIA,RPL23,0.0451134
DDX3X,EEF2,0.0409049
RPL36,EIF5B,1
EIF3E,RPS21,1
ACTB,RPL19,0.300998
PABPC1,RPS25,1
RPL4,SYNCRIP,0.0542191
RPS16,RPL9P7,1
RPLP1,RPL13A,1
ATP1A1,EIF3I,0.0466124
RPS27A,RPL30,1
MOV10,RPS26,0.108006
PABPC4,YWHAZ,1
RPL37A,RPS10,1
RPS29,EIF4H,1
RPL19,RPL8,1
USO1,RPL30,1
RPL38,RPLP2,1
RPS7,EIF4B,1
RPS4X,UBA52,1
EEF1A1,RPS26,1
RPL27,RPS15,1
RPS6,RPS21,1
RPS10,RPL22,1
EIF3CL,RPL10,0.0434048
RPS11,RPL5,1
RPS16,RPL35A,1
RPL35A,RPL8,1
YBX1,RPL10,0.045784
RPS24,RPL6,1
RPS18,RPS26,1
RPS25,RPL12,1
RPL9,PGK1,0.0533193
DDX1,RPS20,0.218374
RPS29,RPL12,1
RPS6,EEF1A1,1
HNRNPA1,RPS17,0.0426634
RPS15,RPL14,1
RPLP0,PABPC1,0.369217
RPL6,RPS26,1
RPS27A,RPL3,1
RPLP1,RPS26,1
ACTR2,EEF2,0.0451091
RPS17,CFL1,0.0425799
EEF1A1,RPS21,1
DDX3X,RPS17,0.0415756
HNRNPA0,PCBP2,1
RPS26,SYNCRIP,0.064941
RPS23,RPL5,1
GPI,RPL9,0.0458051
RPS15A,RPS29,1
RPL36A,RPL26,1
RPS23,EGFR,0.0443741
RPS3A,PGK1,0.28955
RPS25,YBX1,0.0585984
RPL37A,RPL19,1
RPL38,RPL13A,1
RPS3,RPL7A,1
RPS3,RPL4,1
RPS3A,EEF2,0.398442
RPS5,RPL27,1
RPLP0,GSPT1,0.172897
RPL28,RPL4,1
RPL14,RPL8,1
RPL38,EIF4B,0.048641
EIF3E,FAU,1
RPS14,HNRNPL,0.0627038
EGFR,PPIA,0.0454959
RPL24,RPS15,1
PABPC1,RPS4X,1
RPS20,RPSAP15,1
RPS5,RPL9,1
EGFR,RPS9,0.0428309
RPS28,RPS20,1
RPS23,RPLP2,1
RPL5,RPS15A,1
RPS10,RPL13A,1
RPS14,RPL35,1
RPS28,RPS23,1
PFN1,ACTB,1
RPSAP15,RPL13A,1
PPIA,RPS4X,0.0423733
PABPC4,RPLP0,0.0470553
RPL7A,CFL1,0.0424214
RPL13A,RPS27,1
RPLP1,RPS26,1
RPL36,RPS3,1
PABPC1,HDLBP,0.632042
RPL11,RPS27,1
DDX3X,EIF4B,0.0438256
RPS5,RPL23,1
RPS25,RPS27,1
RPL18A,RPS4Y1,1
RPS3,PPP1CB,0.0419824
PPIA,RPS26,0.0473895
APOE,RPS14,0.0960669
RPSAP15,RPL10,1
RPLP1,EIF5B,1
RPS13,RPL10A,1
RPL36,RPL12,1
RPS28,RPS26,1
RPL24,RPS8,1
G3BP2,RPS17,0.0444246
IGF2BP1,PPIA,0.0435342
RPS20,RPL10,1
RPL11,RPS8,1
RPS10,RPL18,1
RPL31,RPL13A,1
RPL24,SNORA67,0.0436816
RPS27,RPS26,1
ACTB,CFL1,1
RPS11,EEF2,0.408452
RPS7,EIF3B,1
RPL37A,RPS6,1
RPL26,RPS27,1
RPS10,RPL24,1
RPL31,DDX1,0.16063
RPS24,RPL30,1
RPS23,RPS6,1
RPL35,RPL4,1
EGFR,RPL3,0.0419376
RPL6,RPLP0,1
EIF4G1,RPS9,1
HNRNPA2B1,HNRNPL,1
PABPC4,CFL1,0.0499455
RPS28,EIF4H,1
HNRNPA0,RPL28,0.0463511
HNRNPL,RPL23,0.0529072
RPS11,HNRNPA2B1,0.0430132
RPL38,RPL12,1
RPL6,HDLBP,0.126701
ETF1,RPL7,1
RPS3,RPL23,1
EEF1A1,PGK1,0.280834
RPS4Y1,RPL13A,1
RPLP0,RPS25,1
RPL35,RPS19,1
RPL11,RPL13A,1
ACTR2,RPL24,0.0463676
RPS8,FAU,1
EIF4G1,CCT3,0.0434135
RPS3,RPL9,1
RPS15A,HDLBP,0.041595
STIP1,RPS17,0.0497154
